familia,nombre,Ag,bf,tf,h,hw,tw,Ix,Sx,rx,Zx,Iy,Sy,ry,Zy,J,Cw,g,fuente
DobleT,S20X75,141.935,16.2179,2.0193,50.8,43.7,1.6129,53277.6,2097.543307,19.374369,2507.22,1240.37,152.963084,2.95618,273.664,191.05,1001287.376344,111.418975,planilla_MC_2024
DobleT,S20X86,163.225,17.9324,2.3368,51.562,43.7,1.6764,65764.6,2550.894069,20.072559,2998.83,1947.96,217.255917,3.454591,376.902,276.378,1631111.867895,128.131625,planilla_MC_2024
DobleT,S20X96,181.935,18.288,2.3368,51.562,43.7,2.032,69510.6,2696.194872,19.546427,3244.64,2089.48,228.508311,3.388917,408.038,349.218,1730083.777035,142.818975,planilla_MC_2024
DobleT,S24X100,189.032,18.4023,2.2098,60.96,53.4,1.8923,99479.3,3263.756562,22.940279,3932.9,1985.42,215.779549,3.240847,391.651,315.503,2289691.914781,148.39012,planilla_MC_2024
DobleT,S24X106,201.29,19.9898,2.7686,62.23,53.4,1.5748,122372.0,3932.894103,24.656415,4571.99,3209.14,321.07775,3.992852,544.051,420.394,3892981.364699,158.01265,planilla_MC_2024
DobleT,S24X121,229.677,20.447,2.7686,62.23,53.4,2.032,131529.0,4227.189458,23.930513,5014.44,3467.21,339.141194,3.88536,593.212,532.776,4166254.241688,180.296445,planilla_MC_2024
DobleT,S24X80,151.613,17.78,2.2098,60.96,53.4,1.27,87408.6,2867.73622,24.010923,3342.96,1756.5,197.581552,3.403736,339.212,203.121,2065170.920764,119.016205,planilla_MC_2024
DobleT,S24X90,170.967,18.0975,2.2098,60.96,53.4,1.5875,93652.1,3072.575459,23.404675,3637.93,1868.88,206.534604,3.306241,365.432,251.404,2177792.446753,134.209095,planilla_MC_2024
DobleT,S3X5.7,10.7742,5.9182,0.6604,7.62,4.8,0.4318,104.89,27.530184,3.120143,31.9548,18.9385,6.400088,1.325807,10.7008,1.66493,391.081587,8.457747,planilla_MC_2024
DobleT,S3X7.5,14.258,6.37286,0.6604,7.62,4.8,0.88646,121.956,32.009449,2.924639,38.6735,24.3912,7.654711,1.307938,13.5357,3.74608,488.316715,11.19253,planilla_MC_2024
DobleT,S4X7.7,14.5806,6.76402,0.74422,10.16,7.2,0.49022,253.069,49.816732,4.16612,57.5186,31.8001,9.402722,1.476817,15.7971,2.91362,1141.021833,11.445771,planilla_MC_2024
DobleT,S4X9.5,18.0,7.10184,0.74422,10.16,7.2,0.82804,282.621,55.634055,3.96247,66.2037,37.5857,10.584778,1.445024,18.5174,4.99478,1320.662835,14.13,planilla_MC_2024
DobleT,S5X10,18.9677,7.63016,0.82804,12.7,9.4,0.54356,511.965,80.624409,5.195326,92.9147,50.7802,13.310389,1.636213,22.4503,4.57855,2804.857276,14.889645,planilla_MC_2024
DobleT,S6X12.5,23.6774,8.46328,0.91186,15.24,11.7,0.58928,919.871,120.717979,6.23299,138.798,75.7541,17.90183,1.788694,30.3161,7.07593,6008.666981,18.586759,planilla_MC_2024
DobleT,S6X17.25,32.7096,9.0551,0.91186,15.24,11.7,1.1811,1094.69,143.660105,5.785061,173.703,96.1495,21.236541,1.714494,38.6735,15.4006,7359.388997,25.677036,planilla_MC_2024
DobleT,S8X18.4,34.9032,10.1625,1.08204,20.32,16.4,0.68834,2397.49,235.973425,8.287924,270.387,155.254,30.554293,2.109059,51.7831,14.1519,21674.250711,27.399012,planilla_MC_2024
DobleT,S8X23,43.6773,10.5943,1.08204,20.32,16.1,1.12014,2701.34,265.879921,7.86433,316.27,179.396,33.866513,2.026649,60.3044,22.8927,24556.090035,34.286681,planilla_MC_2024
DobleT,W10x100,189.7,26.3,2.84,28.2,19.4,1.73,25931.0,1835.0,11.68,2130.0,8616.0,655.0,6.73,1000.0,454.0,1382960.0,148.8,planilla_MC_2024
DobleT,W10x112,212.3,26.5,3.18,28.9,19.4,1.92,29802.0,2065.0,11.84,24.09,9823.0,742.0,6.83,1134.0,629.0,1616586.0,166.7,planilla_MC_2024
DobleT,W10x12,22.84,10.1,0.533,25.1,21.9,0.483,2239.0,179.0,9.91,206.0,90.7,18.0,1.99,28.5,2.08,13668.0,17.9,planilla_MC_2024
DobleT,W10x15,28.45,10.2,0.686,25.4,21.9,0.584,2868.0,226.0,10.03,262.0,120.0,23.8,2.06,37.7,4.16,18341.0,22.3,planilla_MC_2024
DobleT,W10x17,32.19,10.2,0.838,25.7,21.9,0.61,3409.0,265.0,10.29,306.0,148.0,29.2,2.14,45.9,6.66,22852.0,25.3,planilla_MC_2024
DobleT,W10x19,36.26,10.2,1.0,26.0,21.9,0.635,4008.0,308.0,10.52,354.0,179.0,35.1,2.22,54.9,9.57,27928.0,28.3,planilla_MC_2024
DobleT,W10x22,41.87,14.6,0.914,25.8,21.9,0.61,4912.0,380.0,10.85,426.0,475.0,65.1,3.38,100.0,10.0,73847.0,32.7,planilla_MC_2024
DobleT,W10x26,49.1,14.7,1.12,26.2,21.9,0.66,5994.0,457.0,11.05,513.0,587.0,80.1,3.45,123.0,16.6,92645.0,38.7,planilla_MC_2024
DobleT,W10x30,57.03,14.8,1.3,26.6,21.9,0.762,7076.0,531.0,11.13,600.0,695.0,94.2,3.48,145.0,25.8,111174.0,44.6,planilla_MC_2024
DobleT,W10x33,62.65,20.2,1.1,24.7,19.4,0.737,7076.0,574.0,10.64,636.0,1523.0,151.0,4.93,229.0,24.1,212143.0,49.1,planilla_MC_2024
DobleT,W10x39,74.19,20.3,1.35,25.2,19.4,0.8,8699.0,690.0,10.85,767.0,1873.0,185.0,5.03,282.0,40.8,266388.0,58.0,planilla_MC_2024
DobleT,W10x45,85.81,20.4,1.57,25.7,19.4,0.889,10323.0,805.0,10.97,900.0,2223.0,218.0,5.11,333.0,62.9,322243.0,67.0,planilla_MC_2024
DobleT,W10x49,92.9,25.4,1.42,25.3,19.4,0.864,11321.0,895.0,11.05,990.0,3888.0,306.0,6.45,464.0,57.9,555869.0,72.9,planilla_MC_2024
DobleT,W10x54,101.9,25.5,1.56,25.6,19.4,0.94,12612.0,983.0,11.1,1091.0,4287.0,338.0,6.5,513.0,75.8,623003.0,80.4,planilla_MC_2024
DobleT,W10x60,113.5,25.6,1.73,26.0,19.4,1.07,14193.0,1093.0,11.15,1222.0,4828.0,377.0,6.53,574.0,103.0,708935.0,89.3,planilla_MC_2024
DobleT,W10x68,129.0,25.7,1.96,26.4,19.4,1.19,16400.0,1241.0,11.28,1398.0,5578.0,433.0,6.58,657.0,148.0,832461.0,101.2,planilla_MC_2024
DobleT,W10x77,145.8,25.9,2.21,26.9,19.4,1.35,18939.0,1408.0,11.4,1599.0,6410.0,493.0,6.6,752.0,213.0,974785.0,114.6,planilla_MC_2024
DobleT,W10x88,167.1,26.1,2.51,27.5,19.4,1.54,22227.0,1614.0,11.53,1852.0,7451.0,570.0,6.68,870.0,313.0,1162760.0,131.0,planilla_MC_2024
DobleT,W12x106,201.3,31.0,2.51,32.7,24.1,1.55,38834.0,2376.0,13.89,2687.0,12529.0,808.0,7.9,1231.0,380.0,2873334.0,157.7,planilla_MC_2024
DobleT,W12x120,227.7,31.3,2.81,33.3,24.1,1.8,44537.0,2671.0,14.0,3048.0,14360.0,918.0,7.95,1399.0,537.0,3329845.0,178.6,planilla_MC_2024
DobleT,W12x136,257.4,31.5,3.18,34.1,24.1,2.01,51613.0,3048.0,14.17,3507.0,16566.0,1052.0,8.03,1606.0,770.0,3947477.0,202.4,planilla_MC_2024
DobleT,W12x14,26.84,10.1,0.572,30.3,26.7,0.508,3688.0,244.0,11.73,285.0,98.2,29.5,1.91,31.1,2.91,21590.0,20.8,planilla_MC_2024
DobleT,W12x152,288.4,31.7,3.56,34.8,24.1,2.21,59521.0,3425.0,14.38,3982.0,18897.0,1193.0,8.1,1819.0,1074.0,4618817.0,226.2,planilla_MC_2024
DobleT,W12x16,30.39,10.1,0.673,30.5,26.7,0.559,4287.0,280.0,11.86,329.0,117.0,23.1,1.96,27.0,4.16,26021.0,23.8,planilla_MC_2024
DobleT,W12x170,322.6,31.9,3.96,35.6,24.1,2.44,68678.0,3851.0,14.58,4506.0,21519.0,1349.0,8.18,2065.0,1482.0,5397571.0,253.0,planilla_MC_2024
DobleT,W12x19,35.94,10.2,0.889,30.9,26.7,0.597,5411.0,349.0,12.24,405.0,157.0,30.8,2.09,48.8,7.49,35178.0,28.3,planilla_MC_2024
DobleT,W12x190,360.0,32.2,4.41,36.5,24.1,2.69,78668.0,4310.0,14.78,5096.0,24516.0,1524.0,8.26,2343.0,2031.0,6337446.0,282.8,planilla_MC_2024
DobleT,W12x210,398.7,32.5,4.83,37.4,24.1,3.0,89074.0,4785.0,14.96,5703.0,27638.0,1704.0,8.33,2606.0,2693.0,7304176.0,312.5,planilla_MC_2024
DobleT,W12x22,41.81,10.2,1.08,31.3,26.7,0.66,6493.0,416.0,12.47,480.0,194.0,37.9,2.15,60.0,12.1,44040.0,32.7,planilla_MC_2024
DobleT,W12x230,436.8,32.8,5.26,38.2,24.1,3.26,100728.0,5260.0,15.16,6325.0,30884.0,1885.0,8.41,2901.0,3488.0,8378319.0,342.3,planilla_MC_2024
DobleT,W12x252,478.1,33.0,5.72,39.1,24.1,3.54,113215.0,5785.0,15.39,7014.0,34464.0,2081.0,8.48,3212.0,4495.0,9613584.0,375.0,planilla_MC_2024
DobleT,W12x26,49.35,16.5,0.965,31.0,26.7,0.584,8491.0,547.0,13.13,610.0,720.0,87.5,3.84,134.0,12.5,163001.0,38.7,planilla_MC_2024
DobleT,W12x279,528.4,33.4,6.27,40.3,24.1,3.89,129448.0,6440.0,15.65,7882.0,39001.0,2343.0,8.59,3605.0,5952.0,11278506.0,415.2,planilla_MC_2024
DobleT,W12x30,56.71,16.6,1.12,31.3,26.7,0.66,9906.0,633.0,13.23,706.0,845.0,102.0,3.86,157.0,19.1,193346.0,44.6,planilla_MC_2024
DobleT,W12x305,578.1,33.6,0.687,41.5,24.1,4.13,147762.0,7128.0,15.98,8800.0,43704.0,2606.0,8.69,3998.0,7700.0,13050843.0,453.9,planilla_MC_2024
DobleT,W12x336,637.4,34.0,0.751,42.7,24.1,4.51,168990.0,7915.0,16.28,9881.0,49532.0,2901.0,8.81,4490.0,10114.0,15306544.0,500.0,planilla_MC_2024
DobleT,W12x35,66.45,16.7,1.32,31.8,26.7,0.762,11863.0,747.0,13.34,839.0,1020.0,122.0,3.91,188.0,30.8,236043.0,52.1,planilla_MC_2024
DobleT,W12x40,76.13,20.3,1.31,30.3,24.1,0.749,12903.0,850.0,13.03,942.0,1836.0,180.0,4.9,275.0,39.5,386692.0,59.5,planilla_MC_2024
DobleT,W12x45,85.16,20.4,1.46,30.6,24.1,0.851,14568.0,952.0,13.08,1060.0,2081.0,203.0,4.93,311.0,54.5,443084.0,67.0,planilla_MC_2024
DobleT,W12x50,94.84,20.5,1.63,31.0,24.1,0.94,16400.0,1060.0,13.16,1186.0,2343.0,228.0,4.98,351.0,74.1,504847.0,74.4,planilla_MC_2024
DobleT,W12x53,100.6,25.4,1.46,30.6,24.1,0.876,17690.0,1157.0,13.28,1277.0,3987.0,315.0,6.3,477.0,65.8,848573.0,78.9,planilla_MC_2024
